OBJECTID,geoid,county_fip,tract,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_over75,pop_poc,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_over75,pct_poc,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_halfsd,spfam_half,lep_halfsd,below200_h,disab_half,hus_re_hal,zvhh_halfs,epc_class,epc_flag,Shape__Area,Shape__Length
1365,06085512510,85,512510,6345,6345,5909,2258,1669,326,3710,323,466,1360,632,167,189,0.0512900985777378,0.583700001239777,0.19352899491787,0.0788626968860626,0.214341998100281,0.0996059998869896,0.0739592984318733,0.0837024003267288,0,0,0,0,0,,0,NA,0,1.65948354151624E-05,0.0195431041948084
1366,06085512510,85,512510,6345,6345,5909,2258,1669,326,3710,323,466,1360,632,167,189,0.0512900985777378,0.583700001239777,0.19352899491787,0.0788626968860626,0.214341998100281,0.0996059998869896,0.0739592984318733,0.0837024003267288,0,0,0,0,0,,0,NA,0,2.94130586553365E-09,0.000797295734753043
1367,06085512510,85,512510,6345,6345,5909,2258,1669,326,3710,323,466,1360,632,167,189,0.0512900985777378,0.583700001239777,0.19352899491787,0.0788626968860626,0.214341998100281,0.0996059998869896,0.0739592984318733,0.0837024003267288,0,0,0,0,0,,0,NA,0,5.82986103836447E-10,0.000322037858133812
1368,06085512510,85,512510,6345,6345,5909,2258,1669,326,3710,323,466,1360,632,167,189,0.0512900985777378,0.583700001239777,0.19352899491787,0.0788626968860626,0.214341998100281,0.0996059998869896,0.0739592984318733,0.0837024003267288,0,0,0,0,0,,0,NA,0,0.000471100804588787,0.099435906302174
1369,06085512509,85,512509,4205,4216,3943,1227,1113,149,2881,164,419,1112,379,94,28,0.0352495983242989,0.681571006774902,0.147349998354912,0.106264002621174,0.264447003602982,0.089895598590374,0.0766095966100693,0.0228199008852243,0,0,0,0,0,,0,NA,0,7.38350036044721E-06,0.0249807686886763
1370,06085512509,85,512509,4205,4216,3943,1227,1113,149,2881,164,419,1112,379,94,28,0.0352495983242989,0.681571006774902,0.147349998354912,0.106264002621174,0.264447003602982,0.089895598590374,0.0766095966100693,0.0228199008852243,0,0,0,0,0,,0,NA,0,8.86211637407541E-09,0.00233051029322309
1371,06085512509,85,512509,4205,4216,3943,1227,1113,149,2881,164,419,1112,379,94,28,0.0352495983242989,0.681571006774902,0.147349998354912,0.106264002621174,0.264447003602982,0.089895598590374,0.0766095966100693,0.0228199008852243,0,0,0,0,0,,0,NA,0,7.00310920365155E-11,0.000454675290749099
1372,06085512509,85,512509,4205,4216,3943,1227,1113,149,2881,164,419,1112,379,94,28,0.0352495983242989,0.681571006774902,0.147349998354912,0.106264002621174,0.264447003602982,0.089895598590374,0.0766095966100693,0.0228199008852243,0,0,0,0,0,,0,NA,0,0.000280324401956022,0.102478695479844
1373,06085512310,85,512310,4222,4222,3943,1447,1060,99,3018,241,329,1639,305,359,89,0.0234485995024443,0.714827001094818,0.227357998490334,0.0834389999508858,0.388204991817474,0.0722405984997749,0.248099997639656,0.061506599187851,1,1,0,1,0,,0,High,1,7.37372829462402E-08,0.0012637408266153
1374,06085512310,85,512310,4222,4222,3943,1447,1060,99,3018,241,329,1639,305,359,89,0.0234485995024443,0.714827001094818,0.227357998490334,0.0834389999508858,0.388204991817474,0.0722405984997749,0.248099997639656,0.061506599187851,1,1,0,1,0,,0,High,1,8.1580310506979E-08,0.0016942925222266
1375,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,2.44654074776918E-10,0.000313272964830565
1376,06085504420,85,504420,4667,4667,4442,1416,1249,237,3773,98,615,655,307,30,21,0.050782099366188,0.808441996574402,0.0784628018736839,0.138450995087624,0.140347003936768,0.0657809972763062,0.0211864002048969,0.0148304998874664,1,0,1,0,0,,0,NA,0,1.08268977783155E-07,0.00274232608206766
1377,06055201200,55,201200,4831,4834,4683,1968,1252,667,1971,85,525,1304,667,72,94,0.137980997562408,0.407736986875534,0.0678913965821266,0.112107999622822,0.269923001527786,0.137980997562408,0.0365854017436504,0.0477642007172108,0,0,0,0,1,,0,NA,0,1.93432015294093E-06,0.00673760258373323
